城市,产假类型,流产类型,产假天数,是否遇法定节假日顺延,是否享受津贴,是否默认
上海,法定产假,,98,否,是,否
上海,难产假,,15,否,是,否
上海,多胞胎,,15,否,是,否
上海,晚育假/生育假/奖励假,,60,是,是,否
上海,流产假,妊娠未满4个月流产,15,否,是,否
上海,流产假,妊娠满4个月流产,42,否,是,否
深圳,法定产假,,98,否,是,否
深圳,难产假,,15,否,是,否
深圳,多胞胎,,15,否,是,否
深圳,晚育假/生育假/奖励假,,80,否,否,否
深圳,流产假,妊娠未满4个月流产,15,否,是,否
深圳,流产假,妊娠满4个月流产,42,否,是,否
深圳,流产假,妊娠满7个月流产,75,否,是,否
广州,法定产假,,98,否,是,否
广州,难产假,,15,否,是,否
广州,多胞胎,,15,否,是,否
广州,难产假（剖腹产、会阴Ⅲ度破裂）,,30,否,是,否
广州,晚育假/生育假/奖励假,,30,否,是,否
广州,流产假,妊娠未满4个月流产,15,否,是,否
广州,流产假,妊娠满4个月流产,42,否,是,否
广州,流产假,妊娠满7个月流产,75,否,是,否
天津,法定产假,,98,否,是,否
天津,难产假,,15,否,是,否
天津,多胞胎,,15,否,是,否
天津,晚育假/生育假/奖励假,,30,否,是,否
天津,流产假,妊娠未满4个月流产,15,否,是,否
天津,流产假,妊娠满4个月流产,42,否,是,否
绍兴,法定产假,,98,否,是,否
绍兴,难产假,,15,否,是,否
绍兴,多胞胎,,15,否,是,否
绍兴,晚育假/生育假/奖励假,,30,否,是,否
绍兴,流产假,妊娠未满4个月流产,15,否,是,否
绍兴,流产假,妊娠满4个月流产,42,否,是,否
厦门,法定产假,,98,否,是,否
厦门,难产假,,15,否,是,否
厦门,多胞胎,,15,否,是,否
厦门,晚育假/生育假/奖励假,,30,否,是,否
厦门,流产假,妊娠未满4个月流产,15,否,是,否
厦门,流产假,妊娠满4个月流产,42,否,是,否
厦门,流产假,妊娠满7个月流产,98,否,是,否
成都,法定产假,,98,否,是,否
成都,难产假,,15,否,是,否
成都,多胞胎,,15,否,是,否
成都,晚育假/生育假/奖励假,,30,否,是,否
成都,流产假,妊娠未满4个月流产,15,否,是,否
成都,流产假,妊娠满4个月流产,42,否,是,否
苏州,法定产假,,98,否,是,否
苏州,难产假,,15,否,是,否
苏州,多胞胎,,15,否,是,否
苏州,晚育假/生育假/奖励假,,30,否,是,否
苏州,流产假,怀孕不满2个月流产,20,否,是,否
苏州,流产假,怀孕满2个月不满3个月流产,30,否,是,否
苏州,流产假,怀孕满3个月不满7个月流产,42,否,是,否
苏州,流产假,怀孕满7个月流产,98,否,是,否
青岛,法定产假,,98,否,是,否
青岛,难产假,,15,否,是,否
青岛,多胞胎,,15,否,是,否
青岛,晚育假/生育假/奖励假,,30,否,是,否
青岛,流产假,妊娠未满4个月流产,15,否,是,否
青岛,流产假,妊娠满4个月流产,42,否,是,否
北京,法定产假,,98,否,是,否
北京,难产假,,15,否,是,否
北京,多胞胎,,15,否,是,否
北京,晚育假/生育假/奖励假,,30,否,是,否
北京,流产假,妊娠未满4个月流产,15,否,是,否
北京,流产假,妊娠满4个月流产,42,否,是,否
北京,流产假,妊娠满7个月流产,98,否,是,否
重庆,法定产假,,98,否,是,否
重庆,难产假,,15,否,是,否
重庆,多胞胎,,15,否,是,否
重庆,晚育假/生育假/奖励假,,30,否,是,否
重庆,流产假,妊娠未满4个月流产,15,否,是,否
重庆,流产假,妊娠满4个月流产,42,否,是,否
重庆,流产假,宫外孕,98,否,是,否
珠海,法定产假,,98,否,是,否
珠海,难产假,,15,否,是,否
珠海,多胞胎,,15,否,是,否
珠海,晚育假/生育假/奖励假,,30,否,是,否
珠海,流产假,妊娠未满4个月流产,15,否,是,否
珠海,流产假,妊娠满4个月流产,42,否,是,否
珠海,流产假,妊娠满7个月流产,75,否,是,否
佛山,法定产假,,98,否,是,否
佛山,难产假,,15,否,是,否
佛山,多胞胎,,15,否,是,否
佛山,晚育假/生育假/奖励假,,30,否,是,否
佛山,流产假,妊娠未满4个月流产,15,否,是,否
佛山,流产假,妊娠满4个月流产,42,否,是,否
佛山,流产假,妊娠满7个月流产,75,否,是,否
武汉,法定产假,,98,否,是,否
武汉,难产假,,15,否,是,否
武汉,多胞胎,,15,否,是,否
武汉,晚育假/生育假/奖励假,,30,否,是,否
武汉,流产假,妊娠不满12周流产,30,否,是,否
武汉,流产假,妊娠满12周不满28周流产,45,否,是,否
武汉,流产假,妊娠满28周流产,98,否,是,否
