日期,节假日名称,类型,是否为法定假日
2025-01-01,元旦,public_holiday,是
2025-01-26,春节补班,transfer_workday,否
2025-01-28,春节,public_holiday,是
2025-01-29,春节,public_holiday,是
2025-01-30,春节,public_holiday,是
2025-01-31,春节,public_holiday,是
2025-02-01,春节,public_holiday,是
2025-02-02,春节,public_holiday,是
2025-02-03,春节,public_holiday,是
2025-02-04,春节,public_holiday,是
2025-02-08,春节补班,transfer_workday,否
2025-04-04,清明节,public_holiday,是
2025-04-05,清明节,public_holiday,是
2025-04-06,清明节,public_holiday,是
2025-04-27,劳动节补班,transfer_workday,否
2025-05-01,劳动节,public_holiday,是
2025-05-02,劳动节,public_holiday,是
2025-05-03,劳动节,public_holiday,是
2025-05-04,劳动节,public_holiday,是
2025-05-05,劳动节,public_holiday,是
2025-05-31,端午节,public_holiday,是
2025-06-01,端午节,public_holiday,是
2025-06-02,端午节,public_holiday,是
2025-09-28,国庆节补班,transfer_workday,否
2025-10-01,国庆节、中秋节,public_holiday,是
2025-10-02,国庆节、中秋节,public_holiday,是
2025-10-03,国庆节、中秋节,public_holiday,是
2025-10-04,国庆节、中秋节,public_holiday,是
2025-10-05,国庆节、中秋节,public_holiday,是
2025-10-06,国庆节、中秋节,public_holiday,是
2025-10-07,国庆节、中秋节,public_holiday,是
2025-10-08,国庆节、中秋节,public_holiday,是
2025-10-11,国庆节补班,transfer_workday,否
